City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Brigantine,US,39.4101,-74.3646,71.2,50,61,13.65,broken clouds
80,Ukiah,US,39.1502,-123.2078,59.43,62,100,1.99,overcast clouds
81,Torbay,CA,47.6666,-52.7314,41.77,64,40,9.22,scattered clouds
82,Hurghada,EG,27.2574,33.8129,77.04,25,0,11.5,clear sky
83,Cape Town,ZA,-33.9258,18.4232,60.12,59,0,20.71,clear sky
84,Dauphin,CA,51.1494,-100.0502,21.34,53,0,8.05,clear sky
85,Kuala Sungai Baru,MY,2.3594,102.0353,77.04,87,100,8.21,overcast clouds
86,Riyadh,SA,24.6877,46.7219,84.34,23,90,3.09,overcast clouds
87,Saint-Philippe,RE,-21.3585,55.7679,76.59,87,46,13.15,light rain
88,Elliot Lake,CA,46.3834,-82.6331,32.5,67,100,15.39,light snow
89,Kushima,JP,31.4583,131.2333,56.59,89,100,3.15,overcast clouds
90,Nyimba,ZM,-14.5566,30.8149,69.71,91,68,3.71,broken clouds
91,Naze,JP,28.3667,129.4833,63.52,64,100,21.14,overcast clouds
92,Kousseri,CM,12.0769,15.0306,80.56,74,20,14.97,thunderstorm with rain
93,Codrington,AU,-38.2667,141.9667,58.42,95,73,4.34,broken clouds
94,Kavieng,PG,-2.5744,150.7967,81.09,80,42,8.86,light rain
95,Truckee,US,39.328,-120.1833,54.97,71,40,12.66,scattered clouds
96,Mulege,MX,26.8833,-111.9833,85.35,23,33,12.37,scattered clouds
97,Vinh,VN,18.6667,105.6667,75.42,97,50,1.05,scattered clouds
98,Vestmannaeyjar,IS,63.4427,-20.2734,47.68,85,100,33.26,overcast clouds
99,San Carlos De Bariloche,AR,-41.1456,-71.3082,65.95,32,0,20.71,clear sky
100,Ambulu,ID,-8.345,113.6058,75.43,92,56,3.22,broken clouds
101,Linhares,BR,-19.3911,-40.0722,74.25,64,99,14.18,overcast clouds
102,Goderich,CA,43.7501,-81.7165,46.9,61,100,29.93,overcast clouds
103,Dutlwe,BW,-23.9833,23.9,66.54,70,98,11.56,overcast clouds
104,Kaitangata,NZ,-46.2817,169.8464,51.6,90,62,13.85,broken clouds
105,Jamestown,US,42.097,-79.2353,61.52,28,67,14.0,broken clouds
106,Bumba,CD,2.1833,22.4667,72.72,91,99,2.84,light rain
107,Saint Anthony,US,45.0205,-93.218,34.84,51,75,17.27,broken clouds
108,Olafsvik,IS,64.8945,-23.7142,46.08,86,100,30.02,overcast clouds
109,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,93,100,11.5,overcast clouds
110,Oktyabrskiy,RU,54.4815,53.471,37.0,97,100,13.35,overcast clouds
111,Longyan,CN,25.1072,117.0225,61.63,92,100,3.33,overcast clouds
112,Sitka,US,57.0531,-135.33,43.38,51,2,5.55,clear sky
113,Grajau,BR,-5.8194,-46.1386,82.9,86,19,2.08,few clouds
114,Mugur-Aksy,RU,50.35,90.5,25.16,42,7,4.85,clear sky
115,East London,ZA,-33.0153,27.9116,62.08,67,100,14.43,overcast clouds
116,Atar,MR,20.5169,-13.0499,84.81,10,0,6.38,clear sky
117,Oyama,JP,36.3,139.8,51.58,81,100,10.36,overcast clouds
118,Tasiilaq,GL,65.6145,-37.6368,35.26,95,100,9.62,light snow
119,Avarua,CK,-21.2078,-159.775,84.25,74,10,2.3,clear sky
120,Paso De Carrasco,UY,-34.8603,-56.0522,70.25,68,20,11.5,few clouds
121,Padang,ID,-0.9492,100.3543,78.55,86,100,3.22,light rain
122,Nome,US,64.5011,-165.4064,34.16,76,100,24.96,overcast clouds
123,Bandarban,BD,22.1965,92.2262,72.73,99,10,2.98,clear sky
124,Ribeira Grande,PT,38.5167,-28.7,61.2,72,75,11.5,broken clouds
125,Narsaq,GL,60.9167,-46.05,29.98,62,70,1.52,broken clouds
126,Antalaha,MG,-14.9003,50.2788,77.14,85,43,7.94,light rain
127,Saint George,US,37.1041,-113.5841,73.44,17,96,5.01,overcast clouds
128,La Puebla De Cazalla,ES,37.2216,-5.3115,70.02,55,66,4.14,broken clouds
129,Laguna,US,38.421,-121.4238,69.06,57,40,6.91,scattered clouds
130,Moose Factory,CA,51.2585,-80.6094,41.0,80,40,13.8,scattered clouds
131,Toccoa,US,34.5773,-83.3324,74.86,22,0,0.0,clear sky
132,Milagro,ES,42.2386,-1.764,68.67,71,0,10.09,clear sky
133,Prince George,CA,53.9166,-122.753,40.24,32,0,2.3,clear sky
134,Port-Cartier,CA,50.0334,-66.8654,36.75,100,100,2.77,overcast clouds
135,Deputatskiy,RU,69.3,139.9,1.71,87,100,1.57,overcast clouds
136,Sola,VU,-13.8833,167.55,81.34,72,100,3.04,overcast clouds
137,Shawnee,US,39.05,-95.7669,60.94,42,0,12.66,clear sky
138,Parkes,AU,-33.1333,148.1833,57.34,74,100,4.23,overcast clouds
139,Khatanga,RU,71.9667,102.5,16.41,83,100,15.28,overcast clouds
140,Gloversville,US,43.0528,-74.3438,63.14,42,100,27.63,overcast clouds
141,Maragogi,BR,-9.0122,-35.2225,80.58,76,10,12.5,clear sky
142,Airai,TL,-8.9266,125.4092,60.64,91,100,2.15,overcast clouds
143,George Town,MY,5.4112,100.3354,82.35,89,20,3.44,thunderstorm
144,Ouadda,CF,8.0777,22.4007,79.03,56,100,8.86,overcast clouds
145,Blackwater,AU,-23.5833,148.8833,62.1,81,0,5.32,clear sky
146,Atuona,PF,-9.8,-139.0333,78.93,78,16,15.46,few clouds
147,Svencioneliai,LT,55.1667,26.0,37.29,86,100,11.74,overcast clouds
148,Upernavik,GL,72.7868,-56.1549,-4.72,92,10,10.65,clear sky
149,Winnemucca,US,40.973,-117.7357,53.65,35,100,9.22,overcast clouds
150,Kununurra,AU,-15.7667,128.7333,75.18,94,40,3.44,scattered clouds
151,Abu Dhabi,AE,24.4667,54.3667,84.96,65,14,5.03,few clouds
152,Mariental,NA,-24.6333,17.9667,68.16,50,16,9.33,light rain
153,Shache,CN,38.4167,77.2406,63.43,22,26,6.29,scattered clouds
154,Flin Flon,CA,54.7682,-101.865,26.8,51,100,11.07,overcast clouds
155,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,40,0.0,mist
