City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
150,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
151,Abu Dhabi,AE,84.96,few clouds,24.4667,54.3667,Beach Rotana
156,Navadwip,IN,81.64,scattered clouds,23.4167,88.3667,Conch Building
160,Koumac,NC,74.28,few clouds,-20.5667,164.2833,Le Monitel
162,Itarema,BR,81.27,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
166,Palmer,US,67.37,broken clouds,42.1584,-72.3287,Wedgewood Motel
174,Lakhipur,IN,77.85,scattered clouds,26.0299,90.3041,Rajdhani Hotel
176,Bathsheba,BB,79.68,overcast clouds,13.2167,-59.5167,Atlantis Hotel
177,Port Blair,IN,81.45,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
182,Myitkyina,MM,70.03,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
187,Bubaque,GW,74.5,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
189,Yacuiba,BO,72.14,broken clouds,-22.038,-63.6797,Hotel Monumental
191,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
192,Jeannette,US,70.38,clear sky,40.3281,-79.6153,Courtyard by Marriott Pittsburgh Greensburg
194,Maler Kotla,IN,77.25,clear sky,30.5167,75.8833,Vijay Niwas
195,Namibe,AO,71.83,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
200,Iquira,CO,79.92,overcast clouds,2.6487,-75.6346,Finca San José
201,Touros,BR,82.44,few clouds,-5.1989,-35.4608,INN NEW HORIZON
202,Tangwani,PK,87.67,clear sky,28.2787,68.9972,Malik Hafeez Markeet
203,Necochea,AR,66.27,clear sky,-38.5473,-58.7368,dyd -mar Hotel
208,Half Moon Bay,US,73.42,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
209,Faanui,PF,81.73,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
210,Freeport,US,71.49,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
214,Non Sang,TH,85.14,clear sky,16.8687,102.5664,Sabaidee@Home Nonsang
215,Atambua,ID,74.23,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
217,Moron,AR,68.95,clear sky,-34.6534,-58.6198,Hotel Morón
219,Sao Filipe,CV,71.69,clear sky,14.8961,-24.4956,Hotel Xaguate
220,Tomohon,ID,68.94,overcast clouds,1.3346,124.8392,Gardenia Country Inn
221,Auki,SB,77.41,overcast clouds,-8.7676,160.7034,Auki Motel
223,Marsh Harbour,BS,70.23,moderate rain,26.5412,-77.0636,Abaco Beach Resort
224,Elat,IL,71.33,few clouds,29.5581,34.9482,Club Hotel Eilat
225,Lakatoro,VU,80.26,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
228,Mahibadhoo,MV,84.09,broken clouds,3.7833,72.9667,Omadhoo Inn
233,Meadow Lake,US,75.67,clear sky,34.8014,-106.5436,TumbleWeed RV Park
235,Morondava,MG,81.09,clear sky,-20.2833,44.2833,La Case Bambou
236,Luang Prabang,LA,76.48,clear sky,19.8856,102.1347,The Apsara
237,Lorengau,PG,80.82,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
242,Kroya,ID,78.55,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
243,Nishihara,JP,69.08,overcast clouds,26.1842,127.7558,Minshuku Agaihama
244,Victoria,HK,72.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
245,Madang,PG,75.72,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
246,Benghazi,LY,73.62,few clouds,32.1167,20.0667,Tibesti Hotel
